question,option1,option2,option3,correct_answer,category,difficulty,image
Which is the highest mountain peak in the world?,K2,Kangchenjunga,Lhotse,Mount Everest,Mountains,Easy,
What is the longest river in the world?,Amazon River,Yangtze River,Mississippi River,Nile River,Rivers,Easy,
Which desert is the largest hot desert in the world?,Gobi Desert,Kalahari Desert,Arabian Desert,Sahara Desert,Deserts,Easy,
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Oceans,Easy,
Which volcano famously erupted in 79 AD burying Pompeii and Herculaneum?,Mount Fuji,Krakatoa,Mount St. Helens,Mount Vesuvius,Volcanoes,Medium,
The Great Barrier Reef is located off the coast of which country?,India,Brazil,Mexico,Australia,Natural Wonders,Easy,
Which landform is characterized by a high elevation and a relatively flat top?,Valley,Canyon,Delta,Plateau,Landforms,Medium,
What type of climate is characterized by very cold temperatures and permafrost?,Desert,Tropical,Temperate,Tundra,Climate Zones,Medium,
Which mountain range forms the backbone of South America?,Rockies,Himalayas,Alps,Andes,Mountains,Easy,
The Amazon River primarily flows through which continent?,Africa,Asia,Europe,South America,Rivers,Easy,
Which is the driest non-polar desert on Earth?,Sahara Desert,Gobi Desert,Kalahari Desert,Atacama Desert,Deserts,Medium,
What is the deepest oceanic trench in the world?,Puerto Rico Trench,Java Trench,Kermadec Trench,Mariana Trench,Oceans,Medium,
Which country is home to Mount Fuji?,China,South Korea,Thailand,Japan,Volcanoes,Easy,
The Grand Canyon was primarily carved by which river?,Mississippi River,Columbia River,Rio Grande,Colorado River,Natural Wonders,Easy,
"A narrow strip of land connecting two larger landmasses, with water on both sides, is called a/an?",Strait,Peninsula,Archipelago,Isthmus,Landforms,Medium,
Which climate zone experiences four distinct seasons?,Tropical,Polar,Arid,Temperate,Climate Zones,Easy,
Which mountain is known as the "Savage Mountain" due to its extreme difficulty for climbers?,Mount Everest,Denali,Matterhorn,K2,Mountains,Medium,
Which river is sacred to Hindus and flows through India and Bangladesh?,Indus River,Brahmaputra River,Yamuna River,Ganges River,Rivers,Easy,
Which desert covers a large part of northern China and Mongolia?,Taklamakan Desert,Arabian Desert,Thar Desert,Gobi Desert,Deserts,Medium,
What is the largest landlocked body of water by surface area?,Great Salt Lake,Lake Superior,Lake Baikal,Caspian Sea,Oceans,Medium,
Which volcanic eruption in 1883 caused a "year without a summer" due to its ash cloud?,Mount Vesuvius,Mount Tambora,Santorini,Krakatoa,Volcanoes,Hard,
Victoria Falls is located on which continent?,Asia,South America,North America,Africa,Natural Wonders,Medium,
"A large, natural indentation or hollow in the Earth's surface, typically containing water, is called a/an?",Bay,Gulf,Fjord,Lake,Landforms,Easy,
Which climate type is characterized by high temperatures and abundant rainfall year-round?,Mediterranean,Desert,Tundra,Tropical Rainforest,Climate Zones,Medium,
"Which continent is home to the highest concentration of active volcanoes, forming the Ring of Fire?",Africa,Europe,Oceania,Asia,Volcanoes,Medium,
"What is the name of the vast, treeless plain found in the Arctic regions?",Savanna,Taiga,Steppe,Tundra,Climate Zones,Easy,
"Which river flows through Paris, France?",Rhine,Thames,Danube,Seine,Rivers,Easy,
"The highest waterfall in the world, Angel Falls, is located in which country?",Brazil,Argentina,Canada,Venezuela,Natural Wonders,Medium,
Which desert is known for its red sand dunes and ancient history in Namibia?,Kalahari Desert,Sahara Desert,Atacama Desert,Namib Desert,Deserts,Hard,
"What is the narrowest strait in the world, separating Europe and Asia?",Bering Strait,Strait of Gibraltar,Strait of Hormuz,Bosphorus Strait,Oceans,Hard,
Which mountain range separates Europe and Asia?,Caucasus Mountains,Alps,Pyrenees,Ural Mountains,Mountains,Medium,
"The Okavango Delta, a unique inland delta, is found in which African country?",South Africa,Kenya,Egypt,Botswana,Rivers,Hard,
Which desert is known for its "Singing Sands" phenomenon?,Gobi Desert,Mojave Desert,Qarashah Desert,Rub' al Khali,Deserts,Hard,
What is the largest freshwater lake by volume in the world?,Lake Superior,Lake Victoria,Great Bear Lake,Lake Baikal,Oceans,Medium,
"Which famous stratovolcano in the Philippines has erupted multiple times, often causing widespread ashfall?",Mayon Volcano,Taal Volcano,Mount Apo,Mount Pinatubo,Volcanoes,Hard,
"Stonehenge, a prehistoric monument, is located in which country?",France,Ireland,Scotland,England,Natural Wonders,Easy,
"A deep, narrow valley with steep sides, often carved by a river, is called a/an?",Mesa,Butte,Bluff,Canyon,Landforms,Easy,
"Which climate zone experiences hot, dry summers and mild, wet winters, often found around the Mediterranean Sea?",Tropical,Continental,Polar,Mediterranean,Climate Zones,Medium,
The Mariana Trench is located in which ocean?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Oceans,Easy,
"Which mountain range stretches across North America, from Canada to New Mexico?",Appalachian Mountains,Sierra Nevada,Cascades,Rocky Mountains,Mountains,Easy,
"Which river flows through nine countries in Central and Eastern Europe, ending in the Black Sea?",Volga River,Rhine River,Elbe River,Danube River,Rivers,Medium,
Which is the only continent without a desert?,Australia,Antarctica,South America,Europe,Deserts,Medium,
What is the largest coral reef system in the world?,Belize Barrier Reef,New Caledonia Barrier Reef,Red Sea Coral Reef,Great Barrier Reef,Natural Wonders,Easy,
"Which type of landform is typically formed by glaciers, characterized by a U-shaped valley?",Valley,Canyon,Delta,Fjord,Landforms,Hard,
The tropical savanna climate is most commonly found in which region?,Arctic,Amazon Basin,Siberia,Central Africa,Climate Zones,Medium,
What is the longest river in Asia?,Yellow River,Mekong River,Ganges River,Yangtze River,Rivers,Easy,
